chunk,feature,importance_gain,importance_split,auc_train,auc_valid
93,f108_DAYS_TERMINATION-s-DAYS_LAST_DUE_1ST_VERSION,2569.36702,227,0.83976,0.75943
4,f101_approved_AMT_CREDIT_d_total_debt_std,2559.29251,156,0.84768,0.7614
8,f101_completed_DAYS_TERMINATION_s_DAYS_LAST_DUE_1ST_VERSION_mean,2556.77217,200,0.84426,0.76097
92,f105_prevapp_future_payment_8m,2553.3717,122,0.84362,0.76146
51,f103_approved_cnt_unpaid_mean,2549.96375,174,0.8329,0.75806
92,f105_total_debt_mean,2547.23164,204,0.84362,0.76146
90,f105_DAYS_DECISION_max,2542.8303,278,0.84046,0.763
8,f001_AMT_REQ_CREDIT_BUREAU_YEAR,2539.39716,188,0.84426,0.76097
90,f105_AMT_ANNUITY_cmp_mean,2534.89654,225,0.84046,0.763
7,f101_completed_AMT_CREDIT_d_total_debt_mean,2520.03243,177,0.83954,0.75981
90,f105_amt_unpaid_sum-p-app-d-income,2516.33177,238,0.84046,0.763
93,f108_interest_rate,2514.2338,225,0.83976,0.75943
28,f102_approved_cnt_unpaid_mean,2504.81933,167,0.83078,0.76043
81,f001_DEF_60_CNT_SOCIAL_CIRCLE-d-OBS_60_CNT_SOCIAL_CIRCLE,2494.98369,169,0.83016,0.75619
90,f105_DAYS_DECISION_app_min,2486.72239,203,0.84046,0.763
26,f102_approved_AMT_CREDIT_d_total_debt_max,2481.49515,198,0.83221,0.7589
21,f101_refused_AMT_CREDIT_d_total_debt_min,2478.06367,118,0.82963,0.75757
46,f103_active_AMT_CREDIT_d_total_debt_min,2473.82565,122,0.83057,0.75789
10,f101_nyg_high_AMT_CREDIT_d_total_debt_mean,2473.67139,143,0.83344,0.75906
16,f101_nyg_low_normal_AMT_GOODS_PRICE_d_total_debt_min,2465.0275,151,0.83523,0.7581
23,f102_active_AMT_CREDIT_d_total_debt_min,2447.77628,161,0.83135,0.75908
91,f105_past_payment_sum_max-d-credit,2445.65114,180,0.83953,0.76301
72,f104_approved_AMT_GOODS_PRICE_d_total_debt_max,2438.22377,169,0.83194,0.75664
18,f101_nyg_middle_AMT_GOODS_PRICE_d_total_debt_min,2430.74416,148,0.83725,0.76071
12,f101_nyg_high_total_debt_max,2420.00568,166,0.83419,0.75885
56,f103_nyg_high_total_debt_max,2413.05589,105,0.82866,0.75724
51,f103_approved_interest_rate_max,2394.42676,180,0.8329,0.75806
8,f101_completed_AMT_GOODS_PRICE_s_app_AMT_ANNUITY_mean,2387.91264,159,0.84426,0.76097
91,f105_future_vs_past_max_withoutapp,2384.23542,188,0.83953,0.76301
35,f001_EXT_SOURCES_1-2,2377.98219,208,0.83096,0.75757
73,f104_approved_interest_rate_min,2366.89482,179,0.83317,0.75856
71,f104_approved_AMT_CREDIT_d_total_debt_max,2358.90273,163,0.83256,0.75714
36,f001_DAYS_LAST_PHONE_CHANGE-d-DAYS_BIRTH,2354.99062,215,0.83048,0.7565
17,f101_nyg_low_normal_amt_paid_sum,2341.67051,158,0.83718,0.7592
75,f104_completed_AMT_GOODS_PRICE_d_total_debt_max,2336.97381,161,0.8295,0.75668
30,f001_DAYS_ID_PUBLISH-d-DAYS_BIRTH,2326.12391,231,0.83025,0.75807
20,f101_nyg_middle_cnt_unpaid_mean,2314.223,119,0.83507,0.75998
50,f103_approved_NAME_YIELD_GROUP_high_mean,2312.86512,135,0.83421,0.75943
92,f107_DAYS_DECISION-s-app_DAYS_BIRTH,2311.88993,133,0.84362,0.76146
76,f104_completed_DAYS_TERMINATION_s_DAYS_LAST_DUE_1ST_VERSION_max,2308.15543,183,0.83115,0.75774
3,f101_approved_AMT_ANNUITY_d_app_AMT_ANNUITY_mean,2306.67042,149,0.84126,0.76227
15,f101_nyg_low_normal_AMT_CREDIT_d_total_debt_mean,2272.13786,153,0.83389,0.75746
50,f103_approved_DAYS_LAST_DUE_1ST_VERSION_d_app_DAYS_BIRTH_min,2271.71618,143,0.83421,0.75943
43,f102_refused_AMT_GOODS_PRICE_d_total_debt_mean,2268.33671,99,0.828,0.75683
73,f104_approved_DAYS_TERMINATION_s_DAYS_LAST_DUE_1ST_VERSION_max,2268.00612,163,0.83317,0.75856
51,f103_approved_interest_rate_mean,2263.71046,186,0.8329,0.75806
92,f108_AMT_ANNUITY-s-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL,2258.21545,168,0.84362,0.76146
7,f101_completed_AMT_DOWN_PAYMENT_max,2257.41867,131,0.83954,0.75981
5,f101_approved_DAYS_LAST_DUE_1ST_VERSION_d_app_DAYS_ID_PUBLISH_min,2249.66052,146,0.8519,0.76573
48,f103_active_interest_rate_max,2241.07728,119,0.83501,0.75805
92,f107_interest_rate,2239.40787,144,0.84362,0.76146
22,f101_refused_CNT_PAYMENT_mean,2234.06992,130,0.83088,0.75733
48,f103_approved_AMT_CREDIT_d_AMT_APPLICATION_mean,2232.2853,186,0.83501,0.75805
81,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_BIRTH,2218.6592,201,0.83016,0.75619
65,f001_DEF_30_CNT_SOCIAL_CIRCLE-d-OBS_30_CNT_SOCIAL_CIRCLE,2216.00122,156,0.82758,0.75827
92,f106_NAME_CONTRACT_STATUS-Approved,2213.97213,132,0.84362,0.76146
5,f101_approved_DAYS_FIRST_DRAWING_d_app_DAYS_BIRTH_min,2200.82097,87,0.8519,0.76573
12,f101_nyg_high_RATE_DOWN_PAYMENT_mean,2195.91528,166,0.83419,0.75885
90,f105_cnt_unpaid_mean,2185.00099,143,0.84046,0.763
6,f101_approved_RATE_DOWN_PAYMENT_mean,2175.85689,147,0.8483,0.76456
90,f105_DAYS_DECISION_min-m-DAYS_BIRTH,2173.20602,182,0.84046,0.763
92,f106_NAME_CONTRACT_STATUS-Refused_appref,2172.3963,109,0.84362,0.76146
90,f105_amt_paid_max,2161.49882,203,0.84046,0.763
26,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_EMPLOYED,2155.97844,118,0.83221,0.7589
4,f101_approved_AMT_GOODS_PRICE_d_AMT_CREDIT_mean,2147.92247,132,0.84768,0.7614
8,f101_completed_AMT_GOODS_PRICE_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_mean,2146.04258,138,0.84426,0.76097
